name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,price_level
"""Topos V"", d'Eduardo Chillida, Barcelona Roman city walls, Capella de Santa Àgueda, Casa Padellà (Barcelona History Museum MUHBA), Cereria Subirà, Chapel of Santa Ágata, Mirador de muralla de Barcelona, Museu Provincial d'Antiguitats, Museum of the History of Barcelona, Padellàs's House, Palau Reial Major de Barcelona, Plaça de Ramon Berenguer el Gran, Ramon Berenguer III el Gran, Roman Wall, Santa Marta de Barcelona, Topos V",41.384132,2.177645,3,4.6,14932,"cultural,museums,interesting_places,history_museums, fortifications,defensive_walls,historic,interesting_places, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures, museums,cultural,interesting_places,other_museums, palaces,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,monuments, religion,churches,interesting_places,other_churches","castles, churches, landmark, monuments, museums, sculptures",Barcelona,ES,2
"House in carrer Sant Domènec del Call, 7, Sinagoga Major de Barcelona",41.38259,2.175828,3,4.3,1074,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, religion,synagogues,interesting_places",synagogues,Barcelona,ES,2
"Bombing of Barcelona, Plaça de Catalunya",41.387012,2.170033,3,4.4,199808,"battlefields,historic,historical_places,interesting_places",landmark,Barcelona,ES,1
"MUHBA Temple d'August, Mont Tàber, Temple d'August",41.383362,2.177166,3,4.1,2594,"historic,monuments_and_memorials,archaeology,interesting_places,other_archaeological_sites,monuments, mountain_peaks,geological_formations,natural,interesting_places",landmark,Barcelona,ES,1
Casa Bruno Cuadros,41.381432,2.173329,3,2.9,275,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",landmark,Barcelona,ES,1
Teatre Borràs,41.388847,2.17359,3,4.9,6246,"cultural,cinemas,theatres_and_entertainments,interesting_places",theatres,Barcelona,ES,2
"Homenatge als castellers, Monument als Castellers",41.382038,2.177001,3,3.1,158,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,Barcelona,ES,2
"Palau Moxó, Palau Requesens",41.383148,2.178638,3,2.8,433,"palaces,architecture,historic_architecture,interesting_places",palaces,Barcelona,ES,3
"Gran Saló Doré, Music Hall, Teatre Barcelona",41.387665,2.168333,1,2.6,52,"cinemas,cultural,theatres_and_entertainments,interesting_places, theatres_and_entertainments,cultural,interesting_places,other_theatres",concert hall,Barcelona,ES,3
Torre Urquinaona,41.389786,2.172883,3,3.3,232,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",landmark,Barcelona,ES,1
"Creu de l'Hospital de la Santa Creu, Jardins de Rubió i Lluch, Old Hospital de la Santa Creu, Old Hospital de la Santa Creu, Barcelona",41.381002,2.17,3,4.6,1355,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, religion,other_temples,interesting_places","gardens, landmark",Barcelona,ES,3
Teatre Romea,41.380531,2.171081,3,4.5,4040,"cultural,cinemas,theatres_and_entertainments,interesting_places",theatres,Barcelona,ES,2
"Capella d'en Marcús, Farmàcia Santa Caterina",41.385843,2.179912,3,3.6,154,"historic_architecture,architecture,interesting_places,other_buildings_and_structures, religion,churches,interesting_places,other_churches",churches,Barcelona,ES,1
"Església de Sant Agustí de Barcelona, Parròquia de Sant Agustí",41.38018,2.172096,3,4,561,"religion,churches,interesting_places,catholic_churches",churches,Barcelona,ES,1
"Carrer de Montcada, Casa Berenguer d'Aguilar, Casa Gomis, European Museum of Modern Art, Museu Etnològic i de Cultures del Món, Palau del Marquès de Lió, Picasso Museum Barcelona",41.385114,2.180737,3,4.5,39763,"cultural,urban_environment,interesting_places,squares, historic_architecture,architecture,interesting_places,other_buildings_and_structures","art gallery, museums",Barcelona,ES,3
"Font de les Tres Gràcies, Plaça Reial",41.380093,2.175277,3,4.4,22896,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Barcelona,ES,1
"Font del Carme, Placa en memòria a les víctimes del bombardeig de Barcelona de 1938",41.381359,2.168318,1,4.5,3,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",landmark,Barcelona,ES,1
"Monument, Plaça de George Orwell",41.380489,2.1773,2,3.8,2857,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",public sculpture,Barcelona,ES,1
"Chapel of Saint Christopher, MUHBA Porta de Mar i les Termes Romanes Portuàries",41.381504,2.179097,1,2.8,32,"religion,churches,interesting_places,other_churches",landmark,Barcelona,ES,1
"Muralla romana, Roman Wall",41.382061,2.179762,3,5,307,"fortifications,defensive_walls,historic,interesting_places",landmark,Barcelona,ES,1
"A Francesc Soler i Rovirosa, A Joan Güell i Ferrer, Jardins de la Reina Victòria, Monument a Joan Güell",41.388772,2.167454,3,1,652,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","gardens, monuments",Barcelona,ES,3
"Jewish Historical Museum, Jewish Museum, Joods Historisch Kindermuseum, Pand met gevel onder rechte lijst met balustrade",52.367128,4.903757,3,4.2,6693,"cultural,museums,interesting_places,other_museums, historic_architecture,architecture,interesting_places,other_buildings_and_structures, museums,cultural,interesting_places,other_museums",museums,Amsterdam,NL,2
"De Dokwerker, The Dokwerker (Memories of the February strike)",52.367195,4.905015,1,2.5,95,"historic,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures",monuments,Amsterdam,NL,1
"Moses and Aaron Church (officially Church of St. Anthony of Padua), Mozes en Aäronkerk",52.368263,4.903196,3,4.7,121,"religion,churches,interesting_places,other_churches",churches,Amsterdam,NL,1
