name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"ODEON Luxe Haymarket, Odeon Haymarket, Odeon Panton Street",51.509584,-0.131212,2,3.8,2424,"architecture,historic_architecture,cinemas,cultural,theatres_and_entertainments,interesting_places,destroyed_objects, cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,London,GB,entertainment,2,cinemas,7,3,13,13,0.000825083,7.793586803,0.000824743,0.004051123,1,0,1,11,58,8,105,4,0.372961329
"Crimean War Memorial, Guards Crimean War Memorial",51.507389,-0.132689,3,1.5,446,"historic,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures",monuments,London,GB,culture,1,monuments,18,1,13,13,0.002242152,6.102558595,0.002239642,0.004889012,1,0,0,7,49,7,592,14,0.068622423
Guards Memorial,51.504459,-0.129517,3,4.8,209,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.004784689,5.347107531,0.004773279,0.003405521,1,0,0,9,15,2,592,14,0.032157144
"James Outram statue, Sir James Outram, Statue of James Outram",51.506277,-0.123086,1,4.2,44,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",sculptures,London,GB,culture,2,sculptures,26,1,13,13,0.045454545,3.80666249,0.044451762,0.004845918,1,0,0,14,61,10,592,5,0.006769925
"York Water Gate, York Watergate",51.508125,-0.122905,1,2,48,"fortifications,defensive_walls,historic,interesting_places",landmark,London,GB,culture,1,landmark,15,1,13,13,0.020833333,3.891820298,0.020619287,0.004948399,1,0,0,4,31,5,592,4,0.007385373
"Bust of Samuel Plimsoll, Henry Bartle Frere, Henry Bartle Frere Statue, Samuel Plimsoll, Statue of Henry Bartle Frere",51.505549,-0.123292,1,3.4,85,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments, historic,monuments_and_memorials,interesting_places,monuments","monuments, public sculpture",London,GB,culture,1,monuments,18,1,13,13,0.011764706,4.454347296,0.01169604,0.004873219,1,0,0,18,117,18,592,14,0.013078264
"Alhambra Theatre, ODEON Luxe Leicester Square",51.51049,-0.1293,3,4.9,940,"theatres_and_entertainments,cultural,interesting_places,other_theatres",cinemas,London,GB,entertainment,2,cinemas,7,3,13,13,0.00212766,6.84694314,0.0021254,0.003434836,1,0,1,4,45,6,105,4,0.144630218
"Leicester Square, Shakespeare, Shakespeare Fountain, Shakespeare Water Fountain",51.510396,-0.130109,1,4.5,30,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, gardens_and_parks,cultural,urban_environment,interesting_places",fountains,London,GB,nature,2,fountains,10,4,13,13,0.066666667,3.433987204,0.064538521,0.003782525,1,0,0,12,79,8,28,2,0.004615858
"Statue of William Tyndale, Victoria Embankment Gardens: Whitehall Gardens",51.505066,-0.123609,2,4.2,1942,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",landmark,London,GB,culture,1,landmark,15,1,13,13,0.000514933,7.571988449,0.0005148,0.004797086,1,0,0,7,73,9,592,4,0.298799877
"The Women of WWII, The Women of World War II",51.503517,-0.12615,3,4.6,245,"historic,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures",monuments,London,GB,culture,1,monuments,18,1,13,13,0.004081633,5.505331536,0.004073326,0.004219027,1,0,0,7,44,10,592,14,0.037696174
"409 And 410, Strand Wc2, Adelphi Theatre, Theatre Royal Adelphi",51.510116,-0.122888,2,5,19184,"architecture,historic_architecture,theatres_and_entertainments,cultural,interesting_places,destroyed_objects,other_theatres, historic_architecture,architecture,interesting_places,other_buildings_and_structures",theatres,London,GB,entertainment,2,theatres,29,3,13,13,0.000104254,9.861884003,0.000104249,0.005612878,1,0,1,11,63,10,105,3,2.951687353
"Church of Notre Dame de France RC, Notre-Dame de France, Prince Charles Cinema",51.511422,-0.130045,3,4.7,3762,"cultural,cinemas,theatres_and_entertainments,interesting_places, religion,churches,interesting_places,catholic_churches","churches, cinemas",London,GB,religion,2,churches,6,2,13,13,0.000531632,8.232971791,0.000531491,0.004606138,1,1,0,8,78,13,223,3,0.578828598
"George VI and Queen Elizabeth Memorial, King George VI, King George VI & Queen Elizabeth,The Queen Mother Memorial",51.505158,-0.133768,3,1.3,262,"historic,cultural,urban_environment,monuments_and_memorials,burial_places,interesting_places,other_burial_places,sculptures,monuments, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.003816794,5.572154032,0.003809529,0.006375232,1,0,0,16,114,18,592,14,0.040311827
"5, Great Newport Street Wc2, Agatha Christie Memorial, Agatha Christie memorial, Arts Theatre",51.511894,-0.127414,3,3.8,2257,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures","monuments, theatres",London,GB,culture,2,monuments,18,1,13,13,0.000886132,7.722234745,0.00088574,0.004510547,1,0,0,13,93,13,592,14,0.347266386
Royal Air Force Memorial,51.503998,-0.123038,3,4.4,208,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.004807692,5.342334252,0.004796172,0.005852371,1,0,0,9,24,4,592,14,0.032003282
"Anglo-Belgian War Memorial, Cleopatra's Needle, Monument of Belgium's Gratitude",51.508582,-0.120542,3,1.9,785,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures,monuments, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","landmark, monuments",London,GB,culture,1,landmark,15,1,13,13,0.001273885,6.666956792,0.001273074,0.007353617,1,0,0,16,79,9,592,4,0.120781619
"Beauty < Immortality, Eros (Shaftesbury Memorial Fountain), Piccadilly Circus, Shaftesbury Memorial Fountain",51.509857,-0.134524,3,4.8,3156,"fountains,historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments, historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments, railway_stations,industrial_facilities,interesting_places",sculptures,London,GB,culture,2,sculptures,26,1,13,13,0.000633714,8.057377489,0.000633513,0.007158842,1,0,0,19,108,12,592,5,0.485588265
"St Paul's Church, St Paul’s Church Covent Garden",51.511528,-0.123719,3,1.5,892,"religion,churches,interesting_places,other_churches",churches,London,GB,religion,1,churches,6,2,13,13,0.001121076,6.794586581,0.001120448,0.005804735,1,1,0,4,48,8,223,3,0.137244846
The Cenotaph,51.50267,-0.126087,3,1.2,756,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",monuments,London,GB,culture,1,monuments,18,1,13,13,0.001322751,6.629363253,0.001321877,0.005030633,1,0,0,6,12,2,592,14,0.116319623
Picturehouse Central,51.510635,-0.133644,2,4.4,4396,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,London,GB,entertainment,2,cinemas,7,3,13,13,0.000454959,8.388677769,0.000454856,0.006679638,1,0,1,4,20,2,105,4,0.676377064
Savoy Theatre,51.510189,-0.120999,3,4,5223,"cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,London,GB,entertainment,2,theatres,29,3,13,13,0.000382922,8.561018671,0.000382849,0.007350655,1,0,1,4,13,2,105,3,0.803620884
"Churchill Museum and Cabinet War Rooms, Robert Clive, Robert Clive Memorial, Steps And Parapets With Lamps At West End",51.502279,-0.129257,3,4.8,201,"biographical_museums,cultural,museums,interesting_places,military_museums, historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures",monuments,London,GB,culture,1,monuments,18,1,13,13,0.004975124,5.308267697,0.004962789,0.005324236,1,0,0,16,118,19,592,14,0.030926249
