name,kind,city,country,lat,lon,rate
"77 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859501,2.350442,2
Pont Louis-Philippe,"bridges,architecture,interesting_places,stone_bridges",Paris,FR,48.853832,2.354402,3
"14 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859257,2.349681,2
"79 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859531,2.350442,2
Mémorial de la Shoah,"historic,monuments_and_memorials,burial_places,cultural,museums,interesting_places,other_museums,other_burial_places,monuments",Paris,FR,48.854816,2.356161,3
Théâtre Essaïon,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.859688,2.353259,2
"16 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85928,2.349594,2
Wallace fountains on place Louis-Lépine,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.855396,2.34772,3
"81 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859592,2.350506,2
Maisons du Moyen Âge,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.855789,2.3569,2
"17 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859203,2.349378,2
Rue Quincampoix,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.85928,2.34953,2
"88 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859669,2.350742,2
"83 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859634,2.350539,2
"6 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859371,2.349647,2
"8 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859421,2.349722,2
Café de la Gare,"architecture,historic_architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,cafes,foods,tourist_facilities,other_buildings_and_structures",Paris,FR,48.859779,2.353376,3
"10 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859463,2.349756,2
Le Point Virgule,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.857876,2.356833,3
"87 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85973,2.350581,2
"90 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859791,2.350806,2
"12 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859512,2.349775,2
Cité,"railway_stations,industrial_facilities,interesting_places",Paris,FR,48.855297,2.347548,3
Georges,"national_museums,architecture,historic_architecture,cultural,museums,interesting_places,restaurants,foods,art_galleries,tourist_facilities,other_buildings_and_structures",Paris,FR,48.85994,2.352297,3
"22 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859371,2.349369,2
"89 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859776,2.350614,2
"42 rue François-Miron, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.855602,2.35705,2
Clos des blancs manteaux,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.858475,2.356421,3
Fontaine du Palmier,"fountains,historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",Paris,FR,48.857502,2.347286,3
"92 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85984,2.350839,2
"7 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85952,2.349625,2
Hôtel du 22 rue Geoffroy-l'Asnier,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.854805,2.356555,3
"24 rue Vieille-du-Temple, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85704,2.357297,2
