name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"Attila József, Attila József Statue",47.505062,19.04495,3,1.9,298,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,5.700443573390687,0.0,0.00859399464742836,1,0,0,7,35,5,591.0,15,0.0500924525130274
"Statue of Elizabeth Queen of Hungary, Statue of Queen Elisabeth",47.490673,19.045877,2,1.7,242,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,5.493061443340548,0.0,0.009190095646946717,1,0,0,7,63,10,591.0,15,0.040679105732055805
"CENTAR, Danubius Fountain",47.49831,19.052553,1,1.4,32,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",gardens,Budapest,HU,culture,3,gardens,12,1.0,7,7,0.09,3.4965075614664802,0.08617769624105233,0.012359802142430088,0,0,0,8,25,3,591.0,1,0.005379055303412338
"Gyula Andrássy, Statue of Count Gyula Andrássy",47.505562,19.045383,3,1.4,204,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",public sculpture,Budapest,HU,culture,1,public sculpture,23,1.0,7,7,0.0,5.3230099791384085,0.0,0.009250390964708881,1,0,0,7,46,7,591.0,5,0.03429147755925366
"Memorial for Victims of the German Occupation, Memorial to the Victims of the German Occupation",47.503143,19.050638,3,3.3,160,"historic,monuments_and_memorials,interesting_places,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.01,5.081404364984463,0.009950330853168083,0.011680791625571185,0,0,0,4,95,15,591.0,15,0.02689527651706169
"Frog Breki mini statue by Kolodko, Kermit the Frog",47.503887,19.050268,2,3.8,179,"cultural,urban_environment,interesting_places,sculptures",sculptures,Budapest,HU,culture,2,sculptures,26,1.0,7,7,0.01,5.19295685089021,0.009950330853168083,0.011713615709932547,0,0,0,4,50,9,591.0,6,0.030089090603462768
"Gerard of Csanád, St. Gerard Sagredo Statue",47.489559,19.045519,3,3.8,1734,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,7.45876269238096,0.0,0.00989262563731316,1,0,0,7,43,7,591.0,15,0.2914775592536561
"Saint Anne Servite Church, Budapest, St. Anne Church, Downtown Budapest",47.495258,19.053591,3,2.9,401,"religion,churches,interesting_places,catholic_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,5.996452088619021,0.0,0.013649140815453037,0,1,0,4,71,10,223.0,13,0.06740628677088586
"Monument of National Martyrs, Nemzeti Vértanuk Emlékműve",47.505692,19.048281,3,3.7,100,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.01,4.61512051684126,0.009950330853168083,0.011225766120850831,0,0,0,6,56,7,591.0,15,0.016809547823163556
"Soviet War Memorial, Soviet soldiers memorial",47.504589,19.050329,3,3.0,1442,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,7.274479558773871,0.0,0.012138342638106536,0,0,0,6,45,6,591.0,15,0.24239367961001848
